game,id,hours,last_played,steam_deck,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date
(the) Gnorp Apologue,1473350,,,playable,,95,95,92,6739,2023-12-14
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),15540,,,unknown,,27,24,30,557,
1000xRESIST,1675830,,,playable,86,96,95,92,3824,2024-05-09
Counter-Strike,10,,,playable,88,96,96,94,33850,2000-11-01
Terraria,105600,,,verified,83,97,97,96,570474,2011-05-16
Deep Rock Galactic,548430,,,playable,85,97,97,96,165262,2020-05-13
Factorio,427520,,,verified,90,98,98,97,111157,2020-08-14
Valheim,892970,,,verified,88,95,95,93,376456,2021-02-02
Elden Ring,1245620,,,verified,96,96,96,94,460000,2022-02-25
Baldur's Gate 3,1086940,,,verified,96,96,96,95,426170,2023-08-03
Vampire Survivors,1794680,,,verified,86,98,98,97,124181,2022-10-20
